label,norm,example_surface,suggested_canonical,bucket,freq
LOC,eastern bamboo park,Eastern Bamboo Park,,likely_missing_canonical_entity,4
LOC,eastern gatehouse,Eastern Gatehouse,,likely_missing_canonical_entity,4
LOC,gabled house,Gabled House,,likely_missing_canonical_entity,4
LOC,mahi,Mahi,,likely_missing_canonical_entity,4
LOC,piyadassi,Piyadassi,,likely_missing_canonical_entity,4
LOC,river neranjara,river Nerañjara,,likely_missing_canonical_entity,4
LOC,stream-winner,Stream-Winner,,likely_missing_canonical_entity,4
LOC,tapoda hot springs,Tapoda Hot Springs,,likely_missing_canonical_entity,4
PERSON,'s,Master's,,likely_missing_canonical_entity,4
PERSON,adhimutta,Ven. Adhimutta,,likely_missing_canonical_entity,4
PERSON,angirasa,Angirasa,,likely_missing_canonical_entity,4
PERSON,asita,Asita,,likely_missing_canonical_entity,4
PERSON,bhante,Bhante,,likely_missing_canonical_entity,4
PERSON,ganaka-moggallana,Ganaka-Moggallana,,likely_missing_canonical_entity,4
PERSON,great one,Great One,,likely_missing_canonical_entity,4
PERSON,isana,Isana,,likely_missing_canonical_entity,4
PERSON,kaccaayana,Kaccaayana,,likely_missing_canonical_entity,4
PERSON,kala-khemaka,Kala-khemaka,,likely_missing_canonical_entity,4
PERSON,kappayana,Kappayana,,likely_missing_canonical_entity,4
PERSON,long,Long,,likely_missing_canonical_entity,4
PERSON,maara,Maara,,likely_missing_canonical_entity,4
PERSON,mahali,Mahali,,likely_missing_canonical_entity,4
PERSON,makuta-bandhana,Makuta-bandhana,,likely_missing_canonical_entity,4
PERSON,matanga,Matanga,,likely_missing_canonical_entity,4
PERSON,novice cunda,Novice Cunda,,likely_missing_canonical_entity,4
PERSON,pancalacanda,Pañcalacanda,,likely_missing_canonical_entity,4
PERSON,phagguna,Phagguna,,likely_missing_canonical_entity,4
PERSON,pindola bharadvaja,Ven. Pindola Bharadvaja,,likely_missing_canonical_entity,4
PERSON,salavatika,Salavatika,,likely_missing_canonical_entity,4
PERSON,samanas,Samanas,,likely_missing_canonical_entity,4
PERSON,samandakani,Sāmaṇḍakāni,,likely_missing_canonical_entity,4
PERSON,sandha,Sandha,,likely_missing_canonical_entity,4
PERSON,sangaarava,Sangaarava,,likely_missing_canonical_entity,4
PERSON,sirima,Sirima,,likely_missing_canonical_entity,4
PERSON,sumangala,Sumangala,,likely_missing_canonical_entity,4
PERSON,sundarika bharadvaja,Sundarika Bharadvaja,,likely_missing_canonical_entity,4
PERSON,tapussa,Tapussa,,likely_missing_canonical_entity,4
PERSON,ugga,Ugga,,likely_missing_canonical_entity,4
PERSON,upaka,Upaka,,likely_missing_canonical_entity,4
PERSON,upatissa,Upatissa,,likely_missing_canonical_entity,4
PERSON,vepacitta,Vepacitta,,likely_missing_canonical_entity,4
PERSON,verahaccaani,Verahaccaani,,likely_missing_canonical_entity,4
PERSON,void,Void,,likely_missing_canonical_entity,4
PERSON,yama,Yama,,likely_missing_canonical_entity,4
GPE,beluva,Beluva,,likely_missing_canonical_entity,3
GPE,kappa,Kappa,,likely_missing_canonical_entity,3
GPE,nalaka,Nalaka,,likely_missing_canonical_entity,3
GPE,parileyyaka,Parileyyaka,,likely_missing_canonical_entity,3
LOC,gabled pavilion,Gabled Pavilion,,likely_missing_canonical_entity,3
LOC,kakuttha river,Kakuttha River,,likely_missing_canonical_entity,3
LOC,knower (,Knower (,,likely_missing_canonical_entity,3
LOC,kosalan country,Kosalan country,,likely_missing_canonical_entity,3
LOC,mango grove.,Mango Grove.,,likely_missing_canonical_entity,3
LOC,nigrodha's park,Nigrodha's Park,,likely_missing_canonical_entity,3
LOC,peaked roof pavilion,Peaked Roof Pavilion,,likely_missing_canonical_entity,3
LOC,pipphali cave,Pipphali Cave,,likely_missing_canonical_entity,3
LOC,squirrels' feeding ground,Squirrels' Feeding Ground,Squirrels' Sanctuary,likely_missing_alias_for_existing,3
LOC,squirrels' feeding place,Squirrels' Feeding Place,Squirrels' Sanctuary,likely_missing_alias_for_existing,3
LOC,tapoda monastery,Tapoda monastery,,likely_missing_canonical_entity,3
LOC,tusita realm,Tusita realm,,likely_missing_canonical_entity,3
LOC,vulture's peak mountain,Vulture's Peak Mountain,,likely_missing_canonical_entity,3
PERSON,apparently,Apparently,,likely_missing_canonical_entity,3
PERSON,atthaka,Atthaka,,likely_missing_canonical_entity,3
PERSON,atula,Atula,,likely_missing_canonical_entity,3
PERSON,awakened ones,Awakened Ones,,likely_missing_canonical_entity,3
PERSON,bhagu,Bhagu,,likely_missing_canonical_entity,3
PERSON,candana,Candana,,likely_missing_canonical_entity,3
PERSON,dhanapalaka,Dhanapalaka,,likely_missing_canonical_entity,3
PERSON,dhavajalika,Dhavajalika,,likely_missing_canonical_entity,3
PERSON,greatest sage,Greatest Sage,,likely_missing_canonical_entity,3
PERSON,hemaka,Hemaka,,likely_missing_canonical_entity,3
PERSON,jetavana,Jetavana,,likely_missing_canonical_entity,3
PERSON,kaccaana,Ven. Kaccaana,,likely_missing_canonical_entity,3
PERSON,kaligodha,Kaligodha,,likely_missing_canonical_entity,3
PERSON,kimila,Kimila,,likely_missing_canonical_entity,3
PERSON,kinnughandu,Kinnughandu,,likely_missing_canonical_entity,3
PERSON,kumbhira,Kumbhira,,likely_missing_canonical_entity,3
PERSON,kusavati,Kusavati,,likely_missing_canonical_entity,3
PERSON,macchikasanda,Macchikasanda,,likely_missing_canonical_entity,3
PERSON,mahamoggallana,Venerable Mahamoggallana,Ven. Moggallana,likely_missing_alias_for_existing,3
PERSON,mahapajapati gotami,Mahapajapati Gotami,,likely_missing_canonical_entity,3
PERSON,moggallaana,Moggallaana,,likely_missing_canonical_entity,3
PERSON,moliyasivaka,Moliyasivaka,Moliya Sivaka,likely_missing_alias_for_existing,3
PERSON,nalijangha,Nalijangha,,likely_missing_canonical_entity,3
PERSON,palileyyaka,Palileyyaka,,likely_missing_canonical_entity,3
PERSON,parileyyaka,Parileyyaka,,likely_missing_canonical_entity,3
PERSON,pasenadi kosala,Pasenadi Kosala,,likely_missing_canonical_entity,3
PERSON,princess vajiri,Princess Vajiri,,likely_missing_canonical_entity,3
PERSON,sigala,Sigala,,likely_missing_canonical_entity,3
PERSON,siha,Siha,,likely_missing_canonical_entity,3
PERSON,sikhi,Sikhi,,likely_missing_canonical_entity,3
PERSON,soon,Soon,,likely_missing_canonical_entity,3
PERSON,stainless one,Stainless One,,likely_missing_canonical_entity,3
PERSON,sudatta,Sudatta,,likely_missing_canonical_entity,3
PERSON,sujata,Sujata,,likely_missing_canonical_entity,3
PERSON,supreme being,Supreme Being,,likely_missing_canonical_entity,3
PERSON,sutavan,Sutavan,,likely_missing_canonical_entity,3
PERSON,talaputa,Talaputa,,likely_missing_canonical_entity,3
PERSON,tatha,Tatha,,likely_missing_canonical_entity,3
PERSON,todeyya's son,Todeyya's son,,likely_missing_canonical_entity,3
PERSON,universal seer,Universal Seer,,likely_missing_canonical_entity,3
PERSON,upali,Upali,,likely_missing_canonical_entity,3
PERSON,vacchayana,Master Vacchayana,,likely_missing_canonical_entity,3
PERSON,vamadeva,Vamadeva,,likely_missing_canonical_entity,3
PERSON,vamaka,Vamaka,,likely_missing_canonical_entity,3
PERSON,vanquisher,Vanquisher,,likely_missing_canonical_entity,3
PERSON,varunas,Varunas,,likely_missing_canonical_entity,3
PERSON,velukandaki,Velukandaki,,likely_missing_canonical_entity,3
PERSON,videhi queen,Videhi queen,,likely_missing_canonical_entity,3
PERSON,wanderer,Wanderer,,likely_missing_canonical_entity,3
PERSON,yamataggi,Yamataggi,,likely_missing_canonical_entity,3
GPE,greed,Greed,,likely_missing_canonical_entity,2
GPE,india,India,,likely_missing_canonical_entity,2
GPE,kammasadamma,Kammasadamma,,likely_missing_canonical_entity,2
GPE,pavarika,Pavarika,,likely_missing_canonical_entity,2
GPE,pingalakoccha,Piṅgalakoccha,,likely_missing_canonical_entity,2
GPE,sedaka,Sedaka,,likely_missing_canonical_entity,2
GPE,sesavati,Sesavati,,likely_missing_canonical_entity,2
GPE,tathagatas,Tathāgatas,,likely_missing_canonical_entity,2
LOC,abhassara plane,Ābhassara plane,,likely_missing_canonical_entity,2
LOC,aciravati,Aciravati,,likely_missing_canonical_entity,2
LOC,ambalatthika garden,Ambalaṭṭhika garden,,likely_missing_canonical_entity,2
LOC,bahuka,Bahuka,,likely_missing_canonical_entity,2
LOC,black rock on,Black Rock on,,likely_missing_canonical_entity,2
LOC,brahma realm,Brahma realm,,likely_missing_canonical_entity,2
LOC,brick house,Brick House,,likely_missing_canonical_entity,2
LOC,catummaharajika,Catummaharajika,,likely_missing_canonical_entity,2
LOC,cool grove,Cool Grove,,likely_missing_canonical_entity,2
LOC,eastern direction,Eastern Direction,,likely_missing_canonical_entity,2
LOC,eastern park,Eastern Park,,likely_missing_canonical_entity,2
LOC,ghosita 's monastery,Ghosita 's monastery,,likely_missing_canonical_entity,2
LOC,ghosita 's park,Ghosita 's Park,,likely_missing_canonical_entity,2
LOC,gijjhakuta mountain,Gijjhakuta mountain,,likely_missing_canonical_entity,2
LOC,great,Great,,likely_missing_canonical_entity,2
LOC,great roruva hell,Great Roruva hell,,likely_missing_canonical_entity,2
LOC,isigili,Isigili,,likely_missing_canonical_entity,2
LOC,jeta forest,Jeta Forest,,likely_missing_canonical_entity,2
LOC,kosala country,Kosala country,,likely_missing_canonical_entity,2
LOC,kuru people,Kuru people,,likely_missing_canonical_entity,2
LOC,licchavi-son,Licchavi-son,,likely_missing_canonical_entity,2
LOC,macchikasanda.,Macchikasanda.,,likely_missing_canonical_entity,2
LOC,maddakucchi deer,Maddakucchi Deer,,likely_missing_canonical_entity,2
LOC,magadhan country,Magadhan country,,likely_missing_canonical_entity,2
LOC,makuta-bandhana,Makuta-bandhana,,likely_missing_canonical_entity,2
LOC,matanga wilds,Matanga wilds,,likely_missing_canonical_entity,2
LOC,migacira,Migacira,,likely_missing_canonical_entity,2
LOC,monastery of anathapindika,monastery of Anathapindika,,likely_missing_canonical_entity,2
LOC,niraya -hell,Niraya -hell,,likely_missing_canonical_entity,2
LOC,palace of migara 's mother,palace of Migara 's mother,,likely_missing_canonical_entity,2
LOC,pandava mountain,Pandava mountain,,likely_missing_canonical_entity,2
LOC,pure,Pure,,likely_missing_canonical_entity,2
LOC,rama declared,Rama declared,,likely_missing_canonical_entity,2
LOC,river kimikala,river Kimikala,,likely_missing_canonical_entity,2
LOC,sal tree,Sal Tree,,likely_missing_canonical_entity,2
LOC,sala forest,sala forest,,likely_missing_canonical_entity,2
LOC,sala.,Sala.,,likely_missing_canonical_entity,2
LOC,sarabhu,Sarabhu,,likely_missing_canonical_entity,2
LOC,sesavati,Sesavati,,likely_missing_canonical_entity,2
LOC,squirrels' refuge,Squirrels' refuge,,likely_missing_canonical_entity,2
LOC,tavatimsa heaven,Tavatimsa heaven,,likely_missing_canonical_entity,2
LOC,tusita heaven,Tusita heaven,,likely_missing_canonical_entity,2
LOC,untrodden land,Untrodden Land,,likely_missing_canonical_entity,2
LOC,vepulla mountain,Vepulla mountain,,likely_missing_canonical_entity,2
LOC,yama,Yama,,likely_missing_canonical_entity,2
PERSON,accuta,Accuta,,likely_missing_canonical_entity,2
PERSON,aciravati,Aciravatī,,likely_missing_canonical_entity,2
PERSON,aggikabharadvaja,Aggikabharadvaja,,likely_missing_canonical_entity,2
PERSON,ajakalapaka,Ajakalāpaka,,likely_missing_canonical_entity,2
PERSON,amaravati,Amaravati,,likely_missing_canonical_entity,2
PERSON,anna-kondanna,Añña-Kondañña,,likely_missing_canonical_entity,2
PERSON,annata kondanna,Ven. Aññāta Koṇḍañña,,likely_missing_canonical_entity,2
PERSON,asama,Asama,,likely_missing_canonical_entity,2
PERSON,atanata,Atanata,,likely_missing_canonical_entity,2
PERSON,bahuna,Bahuna,,likely_missing_canonical_entity,2
PERSON,bali,Bali,,likely_missing_canonical_entity,2
PERSON,bhaaradvaaja brahman,Bhaaradvaaja Brahman,,likely_missing_canonical_entity,2
PERSON,bhadravudha,Bhadravudha,,likely_missing_canonical_entity,2
PERSON,bhikkhu salha,bhikkhu Salha,,likely_missing_canonical_entity,2
PERSON,buddharakkhita,Buddharakkhita,,likely_missing_canonical_entity,2
PERSON,carpenter fivetool,Carpenter Fivetool,,likely_missing_canonical_entity,2
PERSON,citra,Citra,,likely_missing_canonical_entity,2
PERSON,cittasena,Cittasena,,likely_missing_canonical_entity,2
PERSON,cula,Ven. Cūḷa,,likely_missing_canonical_entity,2
PERSON,dandapani,Dandapani,,likely_missing_canonical_entity,2
PERSON,deity,Deity,,likely_missing_canonical_entity,2
PERSON,dhammika,Dhammika,,likely_missing_canonical_entity,2
PERSON,elder kondanna,Elder Kondañña,,likely_missing_canonical_entity,2
PERSON,eraka,Eraka,,likely_missing_canonical_entity,2
PERSON,fully enlightened ones,Fully Enlightened Ones,,likely_missing_canonical_entity,2
PERSON,gandhabhaka,Gandhabhaka,,likely_missing_canonical_entity,2
PERSON,gather,Gather,,likely_missing_canonical_entity,2
PERSON,general siha,General Siha,,likely_missing_canonical_entity,2
PERSON,gentle,Gentle,,likely_missing_canonical_entity,2
PERSON,ghata,Ghata,,likely_missing_canonical_entity,2
PERSON,godatta,Ven. Godatta,,likely_missing_canonical_entity,2
PERSON,great king vessavana,Great King Vessavana,,likely_missing_canonical_entity,2
PERSON,hatthaka,Hatthaka,,likely_missing_canonical_entity,2
PERSON,jata bharadvaja,Jata Bharadvaja,,likely_missing_canonical_entity,2
PERSON,jatukannin,Jatukannin,,likely_missing_canonical_entity,2
PERSON,kakudha,Kakudha,,likely_missing_canonical_entity,2
PERSON,kalakanjas,Kalakanjas,,likely_missing_canonical_entity,2
