label	surface	norm	source_file	source_kind	count_hint
GPE	Icchanangala	icchanangala	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Icchānaṅgalaka	icchānaṅgalaka	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
GPE	Isipatana	isipatana	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Jain	jain	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Jains	jains	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Jambudipa	jambudipa	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Janavasabha	janavasabha	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Janesabha	janesabha	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Jantu Village	jantu village	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Janussonin	janussonin	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Jeta's Grove	jeta's grove	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Jetavana	jetavana	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Jivaka	jivaka	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Jivaka Komarabhacca	jivaka komarabhacca	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
LOC	Jivaka's Mango Grove	jivaka's mango grove	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kakkarapatta	kakkarapatta	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Kakusanda	kakusanda	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Kalamas	kalamas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kalasigama	kalasigama	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kalinga	kalinga	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kallavalaputta	kallavalaputta	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kamboja	kamboja	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kambala	kambala	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
GPE	Kammasadhamma	kammasadhamma	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Kapadika	kapadika	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kapilavatthu	kapilavatthu	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kapilavasthu	kapilavasthu	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
GPE	Kapilavattu	kapilavattu	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
