              bucket               | label  |              norm               |         example_surface         |    suggested_canonical    | freq |                                                                                                                                                   sample_refs                                                                                                                                                    
 likely_missing_canonical_entity   | PERSON | bhadravudha                     | Bhadravudha                     |                           |    2 | snp.5.12.than.html:1, snp.5.12.than.html:2
 likely_missing_canonical_entity   | PERSON | bhante                          | Bhante                          |                           |    4 | an04.067.piya.html:4, an10.060.piya.html:4, dn.32.0.piya.html:32, mn.116.piya.html:2
 likely_missing_canonical_entity   | PERSON | bhavitatta                      | Bhavitatta                      |                           |    2 | mn.116.piya.html:17, mn.116.piya.html:19
 likely_missing_canonical_entity   | PERSON | bhikkhu salha                   | bhikkhu Salha                   |                           |    2 | dn.16.1-6.vaji.html:6, dn.16.1-6.vaji.html:7
 likely_missing_canonical_entity   | PERSON | buddharakkhita                  | Buddharakkhita                  |                           |    2 | khp.1-9.than.html:10, khp.1-9x.piya.html:10
 likely_missing_canonical_entity   | PERSON | candana                         | Candana                         |                           |    3 | dn.20.0.piya.html:30, dn.20.0.than.html:22, dn.32.0.piya.html:24
 likely_missing_canonical_entity   | PERSON | carpenter fivetools             | Carpenter Fivetools             |                           |    4 | mn.059.nypo.html:1, mn.059.nypo.html:6, sn36.019.nypo.html:1, sn36.019.nypo.html:6
 likely_missing_canonical_entity   | PERSON | citra                           | Citra                           |                           |    2 | dn.20.0.piya.html:35, dn.20.0.than.html:41
 likely_missing_canonical_entity   | PERSON | cittasena                       | Cittasena                       |                           |    2 | dn.20.0.than.html:27, dn.32.0.piya.html:24
 likely_missing_canonical_entity   | PERSON | dandapani                       | Dandapani                       |                           |    2 | mn.018.than.html:2, mn.018.than.html:4
