label,id,pattern_text,pattern_json
LOC,,brahma parisajja,"[{""LOWER"": ""brahma""}, {""LOWER"": ""parisajja""}]"
LOC,,brahma purohita,"[{""LOWER"": ""brahma""}, {""LOWER"": ""purohita""}]"
LOC,,catummaharajika,"[{""LOWER"": ""catummaharajika""}]"
LOC,,deer park,"[{""LOWER"": ""deer""}, {""LOWER"": ""park""}]"
LOC,,maha brahma,"[{""LOWER"": ""maha""}, {""LOWER"": ""brahma""}]"
LOC,,nimmanarati,"[{""LOWER"": ""nimmanarati""}]"
LOC,,paranimmita vasavatti,"[{""LOWER"": ""paranimmita""}, {""LOWER"": ""vasavatti""}]"
LOC,,paranimmita-vasavatti,"[{""LOWER"": ""paranimmita-vasavatti""}]"
LOC,,parittabha,"[{""LOWER"": ""parittabha""}]"
LOC,,parittasubha,"[{""LOWER"": ""parittasubha""}]"
LOC,,squirrel sanctuary/park/refuge,"[{""LOWER"": ""squirrel""}, {""LOWER"": {""IN"": [""sanctuary"", ""park"", ""refuge""]}}]"
LOC,,squirrel's sanctuary/park/refuge,"[{""LOWER"": ""squirrel's""}, {""LOWER"": {""IN"": [""sanctuary"", ""park"", ""refuge""]}}]"
LOC,,squirrels' sanctuary/park/refuge,"[{""LOWER"": ""squirrels'""}, {""LOWER"": {""IN"": [""sanctuary"", ""park"", ""refuge""]}}]"
LOC,,subhakinna,"[{""LOWER"": ""subhakinna""}]"
LOC,,sudassa,"[{""LOWER"": ""sudassa""}]"
LOC,,sudassi,"[{""LOWER"": ""sudassi""}]"
LOC,,tavatimsa,"[{""LOWER"": ""tavatimsa""}]"
LOC,,tusita,"[{""LOWER"": ""tusita""}]"
LOC,,vehapphala,"[{""LOWER"": ""vehapphala""}]"
LOC,,vulture ’s/'s{?} peak mountain{?},"[{""LOWER"": ""vulture""}, {""LOWER"": {""IN"": [""’s"", ""'s""]}, ""OP"": ""?""}, {""LOWER"": ""peak""}, {""LOWER"": ""mountain"", ""OP"": ""?""}]"
LOC,,yama,"[{""LOWER"": ""yama""}]"
LOC,,pure abode/abodes,"[{""LOWER"": ""pure""}, {""LOWER"": {""IN"": [""abode"", ""abodes""]}}]"
LOC,,ten world-systems,"[{""LOWER"": ""ten world-systems""}]"
LOC,,migara 's{?} mother 's{?} palace,"[{""LOWER"": ""migara""}, {""LOWER"": ""'s"", ""OP"": ""?""}, {""LOWER"": ""mother""}, {""LOWER"": ""'s"", ""OP"": ""?""}, {""LOWER"": ""palace""}]"
LOC,,mallika/mallika’s/mallikas park/garden/grove,"[{""LOWER"": {""IN"": [""mallika"", ""mallika’s"", ""mallikas""]}}, {""LOWER"": {""IN"": [""park"", ""garden"", ""grove""]}}]"
LOC,,river ganges,"[{""LOWER"": ""river""}, {""LOWER"": ""ganges""}]"
EVENT,,rains retreat,"[{""LOWER"": ""rains""}, {""LOWER"": ""retreat""}]"
EVENT,,Rains Retreat,"""Rains Retreat"""
EVENT,,Rainy Season Retreat,"""Rainy Season Retreat"""
EVENT,,Vassa,"""Vassa"""
EVENT,,vassa,"""vassa"""
