        identifier        | nikaya | vagga | book_number  |                       title                       |                  subtitle                  
 dhp.21.budd.html         | KN     | Dhp   | XXI          | Pakinnakavagga                                    | Miscellaneous
 dhp.16.than.html         | KN     | Dhp   | XVI          | Piyavagga                                         | Dear Ones
 dhp.09.than.html         | KN     | Dhp   | IX           | Papavagga                                         | Evil
 dhp.04.than.html         | KN     | Dhp   | IV           | Pupphavagga                                       | Blossoms
 dhp.10.than.html         | KN     | Dhp   | X            | Dandavagga                                        | The Rod
 dhp.12.budd.html         | KN     | Dhp   | XII          | Attavagga                                         | The Self
 dhp.06.budd.html         | KN     | Dhp   | VI           | Panditavagga                                      | The Wise
 dhp.25.than.html         | KN     | Dhp   | XXV          | Bhikkhuvagga                                      | Monks
 miln.2x.kell.html        | KN     | Miln  | 2            | Questions on Distinguishing Characteristics       | 
 miln.5x.olen.html        | KN     | Miln  | 5            | The Healing Medicine of the Dhamma                | 
 miln.5x.horn.html        | KN     | Miln  | 5            | A Question (Solved by) Inference                  | 
(357 rows)

