 SN 42.8,Sankha Sutta
 SN 42.9,Kula Sutta
 SN 42.10,Maniculaka Sutta
 SN 42.11,Gandhabhaka (Bhadraka) Sutta
 SN 44.1,Khema Sutta
 SN 44.2,Anuradha Sutta
 SN 44.3,Sariputta-Kotthita Sutta
 SN 44.4,Sariputta-Kotthita Sutta
 SN 44.5,Sariputta-Kotthita Sutta
 SN 44.6,Sariputta-Kotthita Sutta
 SN 44.7,Moggallana Sutta
 SN 44.8,Vacchagotta Sutta
 SN 44.9,Kutuhalasala Sutta
 SN 44.10,Ananda Sutta
 SN 44.11,Sabhiya Sutta
 SN 45.1,Avijja Sutta
 SN 45.2,Upaddha Sutta
 SN 45.8,Magga-vibhanga Sutta
 SN 45.159,Agantuka Sutta
 SN 45.165,Dukkhata Sutta
 SN 45.171,Ogha Sutta
 SN 46.1,Himavanta Sutta
 SN 46.14,Gilana Sutta
 SN 46.14,Gilana Sutta
 SN 46.16,Gilana Sutta
 SN 46.51,Ahara Sutta
 SN 46.53,Aggi Sutta
 SN 46.53,Aggi Sutta
 SN 46.54,Metta Sutta
 SN 46.54,Mettam Sutta
 SN 46.55,Sangaravo Sutta
 SN 47.6,Sakunagghi Sutta
 SN 47.7,Makkata Sutta
 SN 47.7,Makkata Sutta
 SN 47.8,Suda Sutta
 SN 47.10,Bhikkhunupassaya Sutta
 SN 47.10,Bhikkhunivasako Sutta
 SN 47.13,Cunda Sutta
 SN 47.13,Cunda Sutta
 SN 47.14,Cunda Sutta
 SN 47.19,Sedaka Sutta
 SN 47.19,Sedaka Sutta
 SN 47.20,Sedaka Sutta
 SN 47.35,Sata Sutta
 SN 47.37,Chanda Sutta
 SN 47.38,Pariñña Sutta
 SN 47.40,Satipatthana-vibhanga Sutta
 SN 47.41,Amata Sutta
 SN 47.42,Samudaya Sutta
 SN 47.46,Paa.timokkha Sutta
 SN 48.10,Indriya-vibhanga Sutta
 SN 48.38,Vibhanga Sutta
 SN 48.39,Katthopama Sutta
 SN 48.41,Jara Sutta
 SN 48.42,Unnabho Brahmano Sutta
 SN 48.44,Pubbakotthaka Sutta
 SN 48.53,Sekha Sutta
 SN 48.54,Pade Sutta
 SN 48.56,Patitthita Sutta
 SN 51.15,Brahmana Sutta
 SN 51.20,Iddhipada-vibhanga Sutta
 SN 52.10,Gilana Sutta
 SN 54.6,Arittha Sutta
 SN 54.8,Dipa Sutta
 SN 54.9,Vesali Sutta
 SN 54.13,Ananda Sutta
 SN 55.1,Raja Sutta
 SN 55.21,Mahanama Sutta
 SN 55.22,Mahanama Sutta
 SN 55.24,Sarakaani Sutta
 SN 55.30,Licchavi Sutta
 SN 55.31,Abhisanda Sutta
 SN 55.32,Abhisanda Sutta
 SN 55.33,Abhisanda Sutta
 SN 55.40,Nandiya Sutta
 SN 55.54,Gilana Sutta
 SN 56.9,Viggahika Sutta
 SN 56.11,Dhammacakkappavattana Sutta
 SN 56.11,Dhammacakkappavattana Sutta
 SN 56.11,Dhammacakkappavattana Sutta
 SN 56.11,Dhammacakkappavattana Sutta
 SN 56.20,Tatha Sutta
 SN 56.22,Vijja Sutta
 SN 56.31,Simsapa Sutta
 SN 56.31,Simsapa Sutta
 SN 56.35,Sattisata Sutta
 SN 56.36,Pana Sutta
 SN 56.42,Papata Sutta
 SN 56.44,Kuta Sutta
 SN 56.45,Vala Sutta
 SN 56.46,Andhakara Sutta
 SN 56.48,Chiggala Sutta
 SN 56.102-113,Pansu Suttas
 AN 1.47,Mudu Sutta
 AN 1.48,Lahu-parivatta Sutta
 AN 1.21-40,Ekadhamma Suttas
 AN 1.31-40,Adanta Suttas
 AN 1.45-46,Udakarahaka Suttas
 AN 1.49-52,Pabhassara Sutta
 AN 2.5,Appativana Sutta
 AN 2.9,Lokapala Sutta
 AN 2.9,Lokapala Sutta
 AN 2.18,Ekamsena Sutta
 AN 2.19,Kusala Sutta
 AN 2.21,Bala-pandita Sutta
 AN 2.23,Abhasita Sutta
 AN 2.25,Neyyatha Sutta
 AN 2.30,Vijja-bhagiya Sutta
 AN 2.33,Aññataro Brāhmaṇo Sutta
 AN 2.38,Kandarayana Sutta
 AN 2.46,Ukkacita Sutta
 AN 2.98,Bala Sutta
 AN 2.119,Dullabha Sutta
 AN 2.125-126,Ghosa Suttas
 AN 2.31-32,Kataññu Suttas
 AN 3.2,Lakkhana Sutta
 AN 3.15,Rathakara (Pacetana) Sutta
 AN 3.22,Gilana Sutta
 AN 3.33,Nidana Sutta
